Half Inning,Inning,Outs,Balls,Strikes,Count,Date,Batter_Team,Pitcher_Team,,,Pitcher_R_Allowed,Pitcher_ER_Allowed,Batter,Pitcher,Batter_Side,Pitcher_Side,Pitch_Type,Outcome,Quality of Contact,Spray Chart,Runners,Pitch_Location_X,Pitch_Location_Y,REMEMBER TO INSERT THE X AND Y POINTS AFTER EVERY HALF INNING! DON'T MISCLICK PLOTS
Top 3,3,2,0,1,'0-1,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Nicholas Kyrose,Taylor Lepard,R,R,Offspeed,Called Strike,,,100,0.907317143,0.629246643,
Top 3,3,2,0,2,'0-2,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,Nicholas Kyrose,Taylor Lepard,R,R,Offspeed,Ball,,,100,-1.225528571,-0.250018375,
Top 3,3,2,1,2,'1-2,"May 11, 2025",Kitchener Panthers,Toronto Maple Leafs,,,0,0,,,,,,Truncated Out,,,,,,
Bottom 3,3,0,0,0,'0-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Rando Moreno,Andy Vargas,L,R,Fastball,Single,Line Drive,Pull,000,0.685145714,0.180821484,
Bottom 3,3,0,0,0,'0-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Jordan Castaldo,Andy Vargas,L,R,Offspeed,Ball,,,010,-0.625665714,-0.258811025,
Bottom 3,3,0,1,0,'1-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Jordan Castaldo,Andy Vargas,L,R,Offspeed,Ball,,,010,0.996185714,1.235939505,
Bottom 3,3,0,2,0,'2-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Jordan Castaldo,Andy Vargas,L,R,Offspeed,Ball,,,010,0.440757143,-0.557761131,
Bottom 3,3,0,3,0,'3-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Jordan Castaldo,Andy Vargas,L,R,Fastball,Called Strike,,,001,0.796231429,0.620453993,
Bottom 3,3,0,3,1,'3-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Jordan Castaldo,Andy Vargas,L,R,Offspeed,Swinging Strike,,,001,0.596277143,-0.214847774,
Bottom 3,3,0,3,2,'3-2,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Jordan Castaldo,Andy Vargas,L,R,Offspeed,Walk,,,001,1.262791429,-0.250018375,
Bottom 3,3,0,0,0,'0-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,1,1,Marcus Knecht,Andy Vargas,R,R,Offspeed,Ball,,,101,-1.469917143,-0.548968481,
Bottom 3,3,0,1,0,'1-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Marcus Knecht,Andy Vargas,R,R,Offspeed,Ball,,,010,-0.82562,-0.628102332,
Bottom 3,3,0,2,0,'2-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Marcus Knecht,Andy Vargas,R,R,Fastball,Called Strike,,,010,0.840665714,0.550112792,
Bottom 3,3,0,2,1,'2-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Marcus Knecht,Andy Vargas,R,R,Offspeed,Flyout,Fly Ball,Straightaway,010,-0.625665714,0.145650883,
Bottom 3,3,1,0,0,'0-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Dennis Dei Banning,Andy Vargas,R,R,Fastball,Foul,,,010,0.674037143,0.805099647,
Bottom 3,3,1,0,1,'0-1,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Dennis Dei Banning,Andy Vargas,R,R,Offspeed,Called Strike,,,010,-0.736751429,0.066517032,
Bottom 3,3,1,0,2,'0-2,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Dennis Dei Banning,Andy Vargas,R,R,Offspeed,Strikeout Looking,,,010,-0.470145714,0.330296537,
Bottom 3,3,2,0,0,'0-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Mike Cecchetto,Andy Vargas,L,R,Offspeed,Ball,,,010,-1.892042857,0.427015689,
Bottom 3,3,2,1,0,'1-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,1,0,Mike Cecchetto,Andy Vargas,L,R,Offspeed,Single,Ground Ball,Pull,010,0.72958,0.805099647,
Bottom 3,3,2,0,0,'0-0,"May 11, 2025",Toronto Maple Leafs,Kitchener Panthers,,,0,0,Dan Marra,Andy Vargas,R,R,Offspeed,Ball,,,010,-1.825391429,-0.250018375,
